grid_id,latitude,longitude,total_detections,active_days,avg_frp,max_frp,median_frp,frp_std,avg_brightness,max_brightness,avg_confidence,satellite_count,active_months,active_years,years_with_activity,avg_yearly_detections,max_yearly_detections,yearly_detection_std,recurrence_ratio,persistent_months,avg_monthly_detections,max_monthly_detections,satellite_types,snpp_detections,noaa20_detections,noaa21_detections,multi_satellite_activity,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,detections_90d,active_days_90d,avg_frp_90d,max_frp_90d,seasonal_peak,seasonal_mean,seasonal_std,seasonality_strength,detections_per_active_day,recent_activity_ratio,frp_intensity_ratio,persistence_ratio
27.25_84.95,27.27270034638554,84.97103769578314,664,117,5.54,91.75,3.43,8.181065929144102,327.55060240963854,367.0,57.46987951807229,3,20,7,7,94.85714285714286,148,34.2414396671079,1.0,20,33.2,111,3,261,289,114,1,0,0,0.0,0.0,0,0,0.0,0.0,439,132.8,191.5494714166552,3.3057228915662646,5.675213675213676,0.0,16.575475522591915,1.0
30.35_74.80,30.37726021084337,74.82536128012048,664,197,6.99,55.16,4.86,6.445709754888296,339.6458734939759,367.0,56.74698795180723,3,23,7,7,94.85714285714286,214,69.86279069583124,1.0,23,28.869565217391305,104,3,296,335,33,1,0,0,0.0,0.0,0,0,0.0,0.0,348,166.0,139.84515246037907,2.0963855421686746,3.3705583756345177,0.0,7.895781370251643,1.0
31.30_74.95,31.32571016566265,74.97690888554217,664,182,6.13,31.96,4.785,4.583567459207965,339.93969879518073,367.0,55.34638554216868,3,23,7,7,94.85714285714286,160,44.49879613138829,1.0,23,28.869565217391305,96,3,301,301,62,1,0,0,0.0,0.0,1,1,9.35,9.35,294,110.66666666666669,130.45714494295308,2.656626506024096,3.648351648351648,0.0,5.210963398044425,1.0
28.50_81.40,28.52949496229261,81.42677808446454,663,59,3.14,18.84,2.3,2.4950612143734148,320.6541327300151,367.0,57.28506787330317,3,13,6,6,110.5,222,67.63357154549801,0.8571428571428571,13,51.0,221,3,282,243,138,1,0,0,0.0,0.0,0,0,0.0,0.0,580,165.75,277.19953703665044,3.4992458521870287,11.23728813559322,0.0,6.005769730072794,1.0
26.00_78.75,26.02791515837104,78.77129028657617,663,165,6.81,63.89,5.05,6.45223329236726,340.23428355957765,367.0,56.56108597285068,3,26,7,7,94.71428571428572,186,60.530197107764,1.0,26,25.5,138,3,241,274,148,1,0,0,0.0,0.0,0,0,0.0,0.0,423,132.6,167.3239373192013,3.1900452488687785,4.0181818181818185,0.0,9.379049453651731,1.0
30.00_74.95,30.02481161387632,74.97829389140271,663,162,7.8,65.76,5.76,6.929231447118172,339.9715233785822,367.0,56.7420814479638,3,23,7,7,94.71428571428572,201,79.25005633166091,1.0,23,28.82608695652174,169,3,317,315,31,1,0,0,0.0,0.0,0,0,0.0,0.0,431,165.75,182.24045471116816,2.6003016591251886,4.092592592592593,0.0,8.428422298002644,1.0
30.75_75.30,30.775936319758674,75.32352345399698,663,169,7.08,48.71,5.42,5.959945114885144,340.84561085972854,367.0,55.97285067873303,3,20,7,7,94.71428571428572,153,46.95286390169856,1.0,20,33.15,107,3,297,320,46,1,0,0,0.0,0.0,1,1,3.12,3.12,335,110.5,150.88107899932317,3.0316742081447963,3.923076923076923,0.0,6.882010727459868,1.0
30.45_75.05,30.4730313141994,75.07411995468279,662,168,8.2,71.55,5.885,8.30020259286342,340.96125377643506,367.0,57.59818731117825,3,26,7,7,94.57142857142856,194,64.41753680186046,1.0,26,25.46153846153846,154,3,287,326,49,1,0,0,0.0,0.0,1,1,7.25,7.25,408,110.33333333333331,160.72917179736433,3.697885196374623,3.940476190476191,0.0,8.725545460574308,1.0
30.20_75.70,30.22326380664653,75.72548327794563,662,146,7.29,74.96,5.390000000000001,6.753237388047225,340.09617824773414,367.0,58.413897280966765,3,24,7,7,94.57142857142856,180,61.3537750614069,1.0,24,27.58333333333333,152,3,285,330,47,1,0,0,0.0,0.0,0,0,0.0,0.0,467,165.5,206.2660094796684,2.821752265861027,4.534246575342466,0.0,10.27876638696541,1.0
30.35_74.55,30.37524915407855,74.57272892749245,662,162,8.8,60.88,6.375,7.756220893925147,340.9583232628399,367.0,58.73111782477341,3,22,7,7,94.57142857142856,197,76.33229360905544,1.0,22,30.09090909090909,163,3,322,299,41,1,0,0,0.0,0.0,0,0,0.0,0.0,446,132.4,182.78347846564253,3.3685800604229605,4.08641975308642,0.0,6.917101317941615,1.0
30.00_75.20,30.02527729607251,75.22566367069486,662,171,7.22,63.96,5.58,6.631311627070139,339.9482930513595,367.0,57.59818731117825,3,25,7,7,94.57142857142856,183,68.26628534119689,1.0,25,26.48,136,3,290,341,31,1,0,0,0.0,0.0,0,0,0.0,0.0,431,165.5,180.4983841109573,2.604229607250755,3.871345029239766,0.0,8.856187290969899,1.0
26.85_82.85,26.87534299546142,82.87712996974281,661,115,4.37,142.33,2.02,8.45649975274194,323.2621936459909,367.0,57.77609682299546,3,18,7,7,94.42857142857144,169,54.929825361871615,1.0,18,36.72222222222222,161,3,231,278,152,1,0,0,0.0,0.0,0,0,0.0,0.0,599,165.25,290.024567924857,3.624810892586989,5.747826086956522,0.0,32.53262767690111,1.0
30.45_75.80,30.47275658093797,75.82499915279878,661,161,7.01,44.33,5.56,5.513991921558856,340.6892284417549,367.0,58.41149773071104,3,26,7,7,94.42857142857144,187,55.17202534756523,1.0,26,25.423076923076923,139,3,300,300,61,1,0,0,0.0,0.0,0,0,0.0,0.0,413,94.42857142857144,150.66835228724173,4.373676248108926,4.105590062111801,0.0,6.324041480969904,1.0
30.00_75.90,30.02616302571861,75.925500892587,661,148,6.31,51.78,4.98,5.044990580139605,339.92390317700455,367.0,58.32072617246596,3,22,7,7,94.42857142857144,187,61.239576372520034,1.0,22,30.045454545454547,155,3,304,315,42,1,0,0,0.0,0.0,0,0,0.0,0.0,480,165.25,213.4344161563453,2.9046898638426626,4.466216216216216,0.0,8.208186943769618,1.0
31.25_74.65,31.273629515885023,74.67682645990924,661,175,6.91,85.05,5.07,6.780130055326287,340.3223449319213,367.0,57.549167927382754,3,23,7,7,94.42857142857144,170,49.06070098309217,1.0,23,28.73913043478261,132,3,271,328,62,1,0,0,0.0,0.0,0,0,0.0,0.0,308,132.2,121.32889186010068,2.329803328290469,3.777142857142857,0.0,12.31582579358994,1.0
30.80_75.30,30.82395771558245,75.32274006051438,661,162,7.64,51.41,5.56,6.846607739637019,340.7050983358548,367.0,56.77760968229955,3,23,7,7,94.42857142857144,186,60.8135323286332,1.0,23,28.73913043478261,133,3,283,329,49,1,0,0,0.0,0.0,0,0,0.0,0.0,351,110.16666666666669,147.4020578779912,3.1860816944024206,4.080246913580247,0.0,6.732030326022572,1.0
25.10_83.30,25.127082,83.32787765151515,660,165,6.6,62.28,4.325,7.491250976370294,336.94848484848484,367.0,57.36363636363637,3,25,7,7,94.28571428571428,195,56.18040668452032,1.0,25,26.4,92,3,262,290,108,1,0,0,0.0,0.0,0,0,0.0,0.0,312,132.0,129.7709520655528,2.363636363636364,4.0,0.0,9.439007251801469,1.0
31.30_75.05,31.325499833333332,75.07611171212122,660,191,6.68,94.24,5.07,6.213793974149749,339.32613636363635,367.0,55.81818181818182,3,26,7,7,94.28571428571428,198,55.056680750278574,1.0,26,25.384615384615383,153,3,291,299,70,1,1,1,2.69,2.69,5,4,6.96,17.77,311,82.5,127.46652221549894,3.7696969696969695,3.4554973821989527,0.2,14.100588295303838,1.0
30.15_75.65,30.17259024279211,75.67626922610015,659,182,7.16,55.32,5.1,6.718563213070582,339.7077238239757,367.0,58.31562974203339,3,25,7,7,94.14285714285714,191,59.689274780395216,1.0,25,26.36,162,3,274,337,48,1,0,0,0.0,0.0,0,0,0.0,0.0,452,131.8,184.2042344790152,3.429438543247344,3.620879120879121,0.0,7.724930868252371,1.0
30.90_75.30,30.925972811550157,75.32489477203647,658,206,7.03,213.23,5.11,12.464888308699823,340.15408814589665,367.0,56.48936170212766,3,28,7,7,94.0,165,46.389654018972806,1.0,28,23.5,92,3,296,312,50,1,0,0,0.0,0.0,3,2,4.11,4.97,287,109.66666666666669,122.47720876418872,2.6170212765957444,3.1941747572815533,0.0,30.335043533346735,1.0
28.45_81.35,28.473962948328268,81.37567550151975,658,89,3.03,25.23,2.08,2.9935702524968333,319.0942097264437,367.0,56.58054711246201,3,9,6,6,109.66666666666669,143,27.75367843487898,0.8571428571428571,9,73.11111111111111,134,3,270,260,128,1,0,0,0.0,0.0,0,0,0.0,0.0,521,219.33333333333331,267.0811362364129,2.375379939209726,7.393258426966292,0.0,8.324102348109928,1.0
30.25_75.40,30.277036413373857,75.422324331307,658,142,7.03,97.34,5.195,6.653505827847875,340.2394072948328,367.0,57.90273556231003,3,23,7,7,94.0,191,68.72893616713898,1.0,23,28.608695652173918,159,3,324,298,36,1,0,0,0.0,0.0,0,0,0.0,0.0,488,94.0,179.04375629065277,5.191489361702128,4.633802816901408,0.0,13.839401737657385,1.0
30.30_74.75,30.325691506849317,74.77387916286149,657,180,6.97,69.04,5.19,6.232047717746118,339.6410806697108,367.0,56.529680365296805,3,20,7,7,93.85714285714286,218,78.8065745383987,1.0,20,32.85,142,3,291,333,33,1,0,0,0.0,0.0,0,0,0.0,0.0,407,164.25,171.22962165855924,2.4779299847793,3.65,0.0,9.906411751601956,1.0
24.95_81.20,24.974322800608828,81.2251201217656,657,89,5.45,54.46,3.76,5.375407765090532,331.26622526636226,367.0,55.25114155251141,3,20,7,7,93.85714285714286,154,48.55728085271584,1.0,20,32.85,138,3,247,303,107,1,0,0,0.0,0.0,0,0,0.0,0.0,351,131.4,156.6438635887151,2.671232876712329,7.382022471910112,0.0,9.985465627380885,1.0
30.20_75.95,30.226478645357687,75.9758098173516,657,156,7.75,56.68,5.76,7.008784991290917,340.4514307458143,367.0,58.76712328767123,3,23,7,7,93.85714285714286,148,49.38092942094337,1.0,23,28.565217391304348,127,3,280,321,56,1,0,0,0.0,0.0,0,0,0.0,0.0,411,131.4,166.39501194446908,3.1278538812785386,4.211538461538462,0.0,7.315602948341166,1.0
30.45_75.75,30.472624246575343,75.77489706240486,657,158,6.91,43.61,5.12,5.506772788465796,340.04321156773216,367.0,57.57990867579909,3,27,7,7,93.85714285714286,178,54.75225587872635,1.0,27,24.33333333333333,110,3,284,329,44,1,0,0,0.0,0.0,0,0,0.0,0.0,397,82.125,138.81584666641731,4.834094368340944,4.158227848101266,0.0,6.310156411735945,1.0
30.85_74.65,30.87628312024353,74.67597608828005,657,217,9.88,89.65,6.47,10.50530225788275,342.26132420091324,367.0,57.53424657534247,3,27,7,7,93.85714285714286,150,41.33774938007056,1.0,27,24.33333333333333,84,3,282,303,72,1,0,0,0.0,0.0,0,0,0.0,0.0,262,131.4,109.79207621681994,1.9939117199391168,3.0276497695852536,0.0,9.076557383364795,1.0
31.10_74.55,31.123548292682926,74.57645021341463,656,190,7.27,103.03,5.539999999999999,6.498359812520306,340.0101981707317,367.0,55.92987804878049,3,22,7,7,93.71428571428572,163,43.36939891103821,1.0,22,29.818181818181817,94,3,293,306,57,1,0,0,0.0,0.0,0,0,0.0,0.0,231,131.2,106.92848077102752,1.7606707317073171,3.4526315789473685,0.0,14.178807210692264,1.0
30.40_75.20,30.424337667682927,75.2245506402439,656,188,6.98,81.88,5.085,6.854536250136198,339.5630182926829,367.0,57.073170731707314,3,24,7,7,93.71428571428572,181,65.29092403929326,1.0,24,27.33333333333333,137,3,290,329,37,1,0,0,0.0,0.0,0,0,0.0,0.0,410,164.0,171.76922502784564,2.5,3.48936170212766,0.0,11.72354124924154,1.0
29.75_75.65,29.77850995426829,75.67449525914634,656,149,7.59,82.4,5.605,6.870921867643013,341.1617987804878,367.0,58.35365853658536,3,26,7,7,93.71428571428572,170,59.36248614996479,1.0,26,25.23076923076923,150,3,302,299,55,1,0,0,0.0,0.0,0,0,0.0,0.0,412,109.33333333333331,153.1165133702654,3.7682926829268295,4.402684563758389,0.0,10.856978731694776,1.0
29.90_75.60,29.929210809160303,75.62513986259542,655,148,7.01,54.07,5.11,5.915003674970665,340.7135114503817,367.0,58.90076335877863,3,23,7,7,93.57142857142856,174,64.74528848458691,1.0,23,28.47826086956522,148,3,331,298,26,1,0,0,0.0,0.0,0,0,0.0,0.0,480,163.75,211.76775801177416,2.931297709923664,4.425675675675675,0.0,7.708364620946485,1.0
25.90_78.30,25.928610442748088,78.31994100763359,655,172,6.63,114.39,4.39,8.736161352722464,336.47387786259543,367.0,57.02290076335878,3,25,7,7,93.57142857142856,168,47.21178222596962,1.0,25,26.2,93,3,288,263,104,1,0,0,0.0,0.0,0,0,0.0,0.0,310,131.0,126.69451448267206,2.366412213740458,3.808139534883721,0.0,17.24108611862164,1.0
30.15_75.60,30.17542346564885,75.62520254961832,655,177,6.22,41.39,4.55,5.418238570728348,339.1945038167939,367.0,57.61832061068702,3,25,7,7,93.57142857142856,176,62.40955360321351,1.0,25,26.2,156,3,266,350,39,1,0,0,0.0,0.0,0,0,0.0,0.0,489,131.0,203.28428370142143,3.732824427480916,3.7005649717514126,0.0,6.653034430292768,1.0
23.55_77.70,23.57667819847328,77.72460902290076,655,143,8.58,91.84,4.61,12.024830238058504,332.60056488549617,367.0,55.87786259541985,3,26,7,7,93.57142857142856,133,31.75876332005149,1.0,26,25.192307692307693,106,3,235,319,101,1,0,0,0.0,0.0,0,0,0.0,0.0,329,131.0,155.70003211303458,2.5114503816793894,4.580419580419581,0.0,10.706706108079436,1.0
28.35_81.60,28.37614271755725,81.62375900763358,655,70,3.43,31.36,2.33,3.3079613994298835,322.26093129771,367.0,56.61068702290076,3,13,6,6,109.16666666666669,204,71.60283979470832,0.8571428571428571,13,50.38461538461539,203,3,283,277,95,1,0,0,0.0,0.0,0,0,0.0,0.0,573,109.16666666666669,228.43066052232712,5.248854961832061,9.357142857142858,0.0,9.137691732801878,1.0
31.30_74.80,31.325253312977097,74.82702960305343,655,207,6.1,40.46,5.11,4.172848837675332,339.21789312977097,367.0,56.38167938931298,3,25,7,7,93.57142857142856,139,45.39037028143429,1.0,25,26.2,70,3,288,295,72,1,0,0,0.0,0.0,0,0,0.0,0.0,220,93.57142857142856,113.03223307661275,2.351145038167939,3.1642512077294684,0.0,6.633915921117848,1.0
30.20_76.15,30.228204,76.17346859541985,655,175,6.88,101.81,4.83,7.038811644991809,339.61677862595417,367.0,57.70992366412214,3,24,7,7,93.57142857142856,180,69.0624286252594,1.0,24,27.291666666666668,157,3,303,316,36,1,0,0,0.0,0.0,0,0,0.0,0.0,350,109.16666666666669,138.64402860082603,3.206106870229008,3.742857142857143,0.0,14.787398938269744,1.0
30.30_74.85,30.325673877862595,74.87649308396946,655,171,7.69,85.87,5.52,7.506693657268522,340.6513893129772,367.0,57.48091603053435,3,24,7,7,93.57142857142856,208,78.94482702676416,1.0,24,27.291666666666668,108,3,310,318,27,1,0,0,0.0,0.0,0,0,0.0,0.0,319,131.0,131.19641763401927,2.435114503816794,3.830409356725146,0.0,11.16873381626396,1.0
30.25_75.55,30.272883149847093,75.57312224770642,654,170,6.94,94.63,5.04,6.704613896232435,340.09631498470947,367.0,58.02752293577981,3,25,7,7,93.42857142857144,178,66.50528085011281,1.0,25,26.16,149,3,297,326,31,1,0,0,0.0,0.0,0,0,0.0,0.0,482,130.8,200.36142343275563,3.685015290519877,3.847058823529412,0.0,13.638090914700255,1.0
27.30_84.90,27.32721096330275,84.92641759938839,654,92,3.81,63.48,2.275,4.673378218299211,323.6024770642202,367.0,58.39449541284404,3,13,7,7,93.42857142857144,193,84.60271300389277,1.0,13,50.30769230769231,153,3,251,268,135,1,0,0,0.0,0.0,0,0,0.0,0.0,382,218.0,193.2174940319846,1.7522935779816513,7.108695652173913,0.0,16.641848420833213,1.0
30.30_75.20,30.32718379204893,75.22401643730888,654,175,8.74,109.63,5.37,11.107093184384828,340.6608103975535,367.0,58.53211009174312,3,23,7,7,93.42857142857144,211,77.75357900199224,1.0,23,28.43478260869565,153,3,283,347,24,1,0,0,0.0,0.0,0,0,0.0,0.0,432,130.8,177.5463319812606,3.3027522935779814,3.737142857142857,0.0,12.548000490033075,1.0
30.45_75.40,30.475857140672783,75.42447472477065,654,157,6.75,35.51,5.32,5.103429042300884,340.62042813455656,367.0,57.3394495412844,3,22,7,7,93.42857142857144,188,65.47482249653207,1.0,22,29.727272727272727,139,3,296,326,32,1,0,0,0.0,0.0,0,0,0.0,0.0,432,93.42857142857144,157.11339550661822,4.623853211009174,4.165605095541402,0.0,5.26378132118451,1.0
30.15_76.05,30.177601194486986,76.07318640122512,653,161,7.76,146.66,5.3,9.929863637799556,340.0032924961715,367.0,57.15160796324656,3,25,7,7,93.28571428571428,158,60.96095549807348,1.0,25,26.12,135,3,310,310,33,1,0,0,0.0,0.0,0,0,0.0,0.0,368,130.6,146.13623780568597,2.8177641653905057,4.055900621118012,0.0,18.899671023419103,1.0
30.60_75.75,30.62244450229709,75.7756013323124,653,163,7.73,63.93,5.72,6.899355262070015,341.35169984686064,367.0,55.77335375191424,3,29,7,7,93.28571428571428,141,30.0372784259509,1.0,29,22.517241379310345,119,3,256,312,85,1,0,0,0.0,0.0,0,0,0.0,0.0,294,72.55555555555556,114.28704116293228,4.052067381316999,4.006134969325154,0.0,8.267787224687924,1.0
29.90_75.95,29.9245615797546,75.9757849386503,652,144,7.99,54.0,5.455,7.599652411043587,340.0651380368098,367.0,57.79141104294479,3,21,7,7,93.14285714285714,183,66.73187287303465,1.0,21,31.047619047619047,165,3,306,320,26,1,0,0,0.0,0.0,0,0,0.0,0.0,496,130.4,207.6374243723901,3.803680981595092,4.527777777777778,0.0,6.759005960779796,1.0
30.35_75.10,30.374732883435584,75.12773161042945,652,160,7.87,58.86,5.965,7.4085978134653985,340.19239263803684,367.0,57.42331288343559,3,23,7,7,93.14285714285714,181,63.451894039050224,1.0,23,28.347826086956523,155,3,311,295,46,1,0,0,0.0,0.0,0,0,0.0,0.0,445,130.4,188.53461220688365,3.412576687116564,4.075,0.0,7.477008862902644,1.0
29.90_75.90,29.92602473926381,75.92596058282209,652,153,7.38,63.55,5.325,6.412679591325931,340.5222239263804,367.0,59.49386503067485,3,20,7,7,93.14285714285714,183,65.06260721138415,1.0,20,32.6,154,3,275,331,46,1,0,0,0.0,0.0,0,0,0.0,0.0,504,163.0,229.74623682083092,3.0920245398773005,4.261437908496732,0.0,8.61195230385198,1.0
30.20_75.40,30.22474139570552,75.4243701380368,652,143,7.8,70.13,5.51,7.334747387324379,340.60064417177915,367.0,58.20552147239264,3,22,7,7,93.14285714285714,199,73.76410276782912,1.0,22,29.63636363636364,173,3,307,314,31,1,0,0,0.0,0.0,0,0,0.0,0.0,476,130.4,198.6486848685387,3.6503067484662575,4.559440559440559,0.0,8.993979067375042,1.0
30.25_76.05,30.27623087557604,76.07399288786483,651,180,7.32,70.33,5.38,6.392105252812967,340.1376958525346,367.0,58.38709677419355,3,24,7,7,93.0,157,49.69909455915671,1.0,24,27.125,137,3,279,305,67,1,0,0,0.0,0.0,0,0,0.0,0.0,368,108.5,142.2641908563079,3.391705069124424,3.6166666666666663,0.0,9.611291761569383,1.0
30.60_74.70,30.62707703533026,74.72427715821813,651,194,8.67,68.75,6.27,8.302661080525853,341.62663594470047,367.0,57.88018433179724,3,24,7,7,93.0,169,52.41501057267215,1.0,24,27.125,91,3,304,291,56,1,0,0,0.0,0.0,0,0,0.0,0.0,302,130.2,125.45397562452932,2.3195084485407067,3.355670103092784,0.0,7.931834736052997,1.0
27.70_82.75,27.730806753846156,82.77469216923078,650,82,3.41,17.31,2.7,2.5320407185328127,321.7273692307692,367.0,57.0,3,11,7,7,92.85714285714286,159,54.19233823899393,1.0,11,59.09090909090909,158,3,265,273,112,1,0,0,0.0,0.0,0,0,0.0,0.0,559,216.66666666666663,298.95874854791145,2.58,7.926829268292683,0.0,5.0762463343108495,1.0
30.60_75.15,30.623932584615385,75.17369424615384,650,152,7.47,69.15,5.46,6.700964611170636,340.61927692307694,367.0,56.815384615384616,3,21,7,7,92.85714285714286,165,55.89105048046175,1.0,21,30.952380952380956,124,3,322,294,34,1,0,0,0.0,0.0,0,0,0.0,0.0,367,162.5,168.357754004184,2.2584615384615385,4.276315789473684,0.0,9.256246511982308,1.0
29.75_75.85,29.77798987692308,75.87657261538462,650,163,7.7,55.96,5.58,6.942035519856028,340.85873846153845,367.0,57.69230769230769,3,25,7,7,92.85714285714286,158,51.40502106289025,1.0,25,26.0,104,3,293,305,52,1,0,0,0.0,0.0,0,0,0.0,0.0,286,81.25,113.70356194948336,3.52,3.987730061349693,0.0,7.269347989008244,1.0
30.30_75.30,30.326010246533126,75.32211312788907,649,169,7.71,104.28,5.31,8.15555539618929,340.69473035439137,367.0,58.93682588597843,3,25,7,7,92.71428571428572,167,67.08878268313387,1.0,25,25.96,139,3,313,316,20,1,0,0,0.0,0.0,0,0,0.0,0.0,440,129.8,177.44914764517748,3.389830508474576,3.840236686390533,0.0,13.521346586084611,1.0
24.30_77.90,24.32577234206472,77.92872012326656,649,153,7.58,96.91,4.69,8.733788497150819,338.0524036979969,367.0,55.83975346687211,3,27,7,7,92.71428571428572,200,59.51390393769142,1.0,27,24.03703703703704,112,3,246,272,131,1,0,0,0.0,0.0,0,0,0.0,0.0,295,129.8,139.94177360602515,2.2727272727272725,4.241830065359477,0.0,12.7811931629976,1.0
29.85_75.80,29.872419075500773,75.82600175654854,649,171,7.02,46.52,5.2,5.737616057175247,340.9380123266564,367.0,58.52080123266564,3,28,7,7,92.71428571428572,182,56.11213263253705,1.0,28,23.178571428571427,122,3,294,310,45,1,0,0,0.0,0.0,0,0,0.0,0.0,362,108.16666666666669,139.2801732719581,3.3466872110939905,3.795321637426901,0.0,6.628832140026392,1.0
27.35_82.65,27.3763273651772,82.67458867488443,649,86,7.1,206.17,4.56,12.198017893730604,332.74010785824345,367.0,56.90292758089368,3,18,7,7,92.71428571428572,136,42.49985994374682,1.0,18,36.05555555555556,132,3,256,287,106,1,0,0,0.0,0.0,0,0,0.0,0.0,599,108.16666666666669,240.6885262464056,5.537750385208012,7.546511627906977,0.0,29.030971876884884,1.0
30.40_74.95,30.42479177469136,74.97294223765432,648,170,8.45,106.05,5.77,9.074966573100893,341.0275925925926,367.0,58.61111111111112,3,23,7,7,92.57142857142856,180,66.45764852610306,1.0,23,28.17391304347826,141,3,313,312,23,1,0,0,0.0,0.0,0,0,0.0,0.0,476,162.0,213.87223600395947,2.938271604938272,3.8117647058823527,0.0,12.551029353749945,1.0
30.40_75.65,30.424506234567904,75.67174188271605,648,144,8.06,74.4,5.475,7.798408502889176,340.1010185185185,367.0,58.42592592592592,3,22,7,7,92.57142857142856,187,64.706664115471,1.0,22,29.454545454545453,147,3,292,315,41,1,0,0,0.0,0.0,0,0,0.0,0.0,475,162.0,213.11499243366245,2.932098765432099,4.5,0.0,9.227765676858237,1.0
30.20_74.80,30.226005848765432,74.82509086419753,648,179,7.5,58.01,5.78,6.264204208883949,340.5175,367.0,57.638888888888886,3,20,7,7,92.57142857142856,182,61.58694976171804,1.0,20,32.4,118,3,283,306,59,1,0,0,0.0,0.0,0,0,0.0,0.0,329,129.6,134.1223322195077,2.5385802469135803,3.620111731843576,0.0,7.731039759125348,1.0
30.35_75.05,30.37384115740741,75.0746262808642,648,166,7.61,68.08,5.68,6.360476074347159,340.39026234567905,367.0,57.73148148148148,3,21,7,7,92.57142857142856,187,71.10522049014672,1.0,21,30.857142857142858,171,3,298,320,30,1,0,0,0.0,0.0,0,0,0.0,0.0,475,129.6,200.89126412066804,3.6651234567901234,3.903614457831325,0.0,8.944636159039758,1.0
30.35_74.65,30.376829444444443,74.67802263888889,648,154,7.68,84.34,5.325,7.853603059906542,339.3726851851852,367.0,56.851851851851855,3,19,7,7,92.57142857142856,204,73.39813154492228,1.0,19,34.10526315789474,159,3,292,314,42,1,0,0,0.0,0.0,0,0,0.0,0.0,395,162.0,165.07170159257058,2.438271604938272,4.207792207792208,0.0,10.988173889266427,1.0
30.90_75.05,30.925500880989183,75.07419860896445,647,139,9.68,103.77,6.3,11.51827570387892,341.746429675425,367.0,57.07882534775889,3,18,7,7,92.42857142857144,176,59.43864383507064,1.0,18,35.94444444444444,161,3,318,274,55,1,0,0,0.0,0.0,0,0,0.0,0.0,403,161.75,181.24637927418027,2.491499227202473,4.654676258992806,0.0,10.714566816040444,1.0
30.40_74.85,30.422136707882533,74.87130171561051,647,183,8.36,108.32,5.77,8.871815727986514,341.555656877898,367.0,58.28438948995363,3,22,7,7,92.42857142857144,179,60.25461847542517,1.0,22,29.40909090909091,118,3,301,285,61,1,0,0,0.0,0.0,0,0,0.0,0.0,402,161.75,172.08016542685368,2.48531684698609,3.5355191256830603,0.0,12.96264154154043,1.0
30.30_76.05,30.32300596599691,76.07573247295208,647,180,7.65,49.9,5.42,7.042996250145035,340.3364142194745,367.0,58.00618238021638,3,27,7,7,92.42857142857144,168,52.48128918277174,1.0,27,23.96296296296296,108,3,287,304,56,1,0,0,0.0,0.0,0,0,0.0,5.22,322,92.42857142857144,122.96728174987192,3.483771251931994,3.594444444444445,0.0,6.519464312398275,1.0
23.65_77.70,23.67553799072643,77.72817695517774,647,76,8.31,124.53,2.81,12.926701275354644,329.10003091190106,367.0,59.07264296754251,3,18,7,7,92.42857142857144,159,49.852639993140926,1.0,18,35.94444444444444,152,3,289,241,117,1,0,0,0.0,0.0,0,0,0.0,0.0,586,129.4,255.79738075281384,4.528593508500773,8.513157894736842,0.0,14.986813910403788,1.0
29.55_74.50,29.574454899536324,74.52454593508502,647,194,10.46,98.89,6.71,11.34322883063471,343.5818392581144,367.0,60.92735703245749,3,22,7,7,92.42857142857144,140,38.491804941039696,1.0,22,29.40909090909091,104,3,273,285,89,1,0,0,0.0,0.0,0,0,0.0,0.0,385,161.75,162.2433871276937,2.3802163833075736,3.3350515463917527,0.0,9.451583072725471,1.0
27.50_84.20,27.52867060371517,84.22453657894737,646,130,6.94,80.89,4.605,8.139650504064495,330.6386842105263,367.0,59.39628482972136,3,23,7,7,92.28571428571428,145,45.27587394965184,1.0,23,28.08695652173913,141,3,254,282,110,1,0,0,0.0,0.0,0,0,0.0,0.0,296,129.2,125.81613569014112,2.2910216718266256,4.969230769230769,0.0,11.652162860653307,1.0
27.25_83.25,27.27871580495356,83.2774804489164,646,77,7.87,137.8,4.369999999999999,11.51436865335639,332.06967492260065,367.0,57.4922600619195,3,17,7,7,92.28571428571428,140,55.44280622321314,1.0,17,38.0,135,3,242,269,135,1,0,0,0.0,0.0,0,0,0.0,0.0,608,129.2,268.002238796619,4.705882352941177,8.38961038961039,0.0,17.510218693816856,1.0
30.10_75.45,30.125324953560373,75.47498397832818,646,163,6.77,58.33,5.2,5.415583578300317,340.29390092879254,367.0,58.69969040247678,3,25,7,7,92.28571428571428,228,79.90142736671288,1.0,25,25.84,170,3,330,288,28,1,0,0,0.0,0.0,0,0,0.0,0.0,449,107.66666666666669,171.78552519542114,4.170278637770898,3.96319018404908,0.0,8.616898471051513,1.0
30.10_75.15,30.12319944272446,75.1752388390093,646,163,8.02,57.99,5.4,8.017013333004863,340.2785448916409,367.0,57.95665634674923,3,24,7,7,92.28571428571428,149,46.32391134074024,1.0,24,26.916666666666668,139,3,281,303,62,1,0,0,0.0,0.0,0,0,0.0,0.0,433,129.2,178.26441035719947,3.3513931888544897,3.96319018404908,0.0,7.226433074329277,1.0
30.05_76.05,30.07235828173375,76.07669348297213,646,162,7.41,61.52,5.46,7.066388544507264,339.90247678018574,367.0,57.77089783281734,3,23,7,7,92.28571428571428,161,58.15414655813257,1.0,23,28.08695652173913,148,3,294,305,47,1,0,0,0.0,0.0,0,0,0.0,0.0,499,129.2,209.8861596199235,3.862229102167183,3.9876543209876543,0.0,8.29776989938344,1.0
